2026-09-06T09:54:47.723622101Z 
2026-09-06T09:54:47.723686882Z PostgreSQL Database directory appears to contain a database; Skipping initialization
2026-09-06T09:54:47.723690943Z 
2026-09-06T09:54:47.892605383Z 2026-09-06 09:54:47.892 UTC [1] LOG:  starting PostgreSQL 16.13 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
2026-09-06T12:19:50.250120442Z 2026-09-06 12:19:50.249 UTC [14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.208 s, sync=0.012 s, total=0.246 s; sync files=3, longest=0.008 s, average=0.004 s; distance=7 kB, estimate=38 kB; lsn=0/1EB12C0, redo lsn=0/1EB1288
2026-09-06T12:24:50.348152729Z 2026-09-06 12:24:50.347 UTC [14] LOG:  checkpoint starting: time
2026-09-06T12:24:51.603541352Z 2026-09-06 12:24:51.603 UTC [14] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.211 s, sync=0.017 s, total=1.256 s; sync files=13, longest=0.014 s, average=0.002 s; distance=40 kB, estimate=40 kB; lsn=0/1EBB388, redo lsn=0/1EBB350
2026-09-06T12:44:50.938208802Z 2026-09-06 12:44:50.937 UTC [14] LOG:  checkpoint starting: time
2026-09-06T12:44:51.166314209Z 2026-09-06 12:44:51.166 UTC [14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.205 s, sync=0.004 s, total=0.229 s; sync files=3, longest=0.003 s, average=0.002 s; distance=9 kB, estimate=37 kB; lsn=0/1EBD8F0, redo lsn=0/1EBD8B8
2026-09-06T12:54:50.364091837Z 2026-09-06 12:54:50.363 UTC [14] LOG:  checkpoint starting: time
2026-09-06T12:54:51.584650839Z 2026-09-06 12:54:51.584 UTC [14] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.206 s, sync=0.006 s, total=1.221 s; sync files=13, longest=0.003 s, average=0.001 s; distance=42 kB, estimate=42 kB; lsn=0/1EC8278, redo lsn=0/1EC8240
2026-09-06T12:59:50.683760168Z 2026-09-06 12:59:50.683 UTC [14] LOG:  checkpoint starting: time
2026-09-06T12:59:50.951853211Z 2026-09-06 12:59:50.951 UTC [14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.207 s, sync=0.018 s, total=0.269 s; sync files=3, longest=0.012 s, average=0.006 s; distance=5 kB, estimate=38 kB; lsn=0/1EC9788, redo lsn=0/1EC9750
2026-09-06T13:09:51.143848705Z 2026-09-06 13:09:51.143 UTC [14] LOG:  checkpoint starting: time
2026-09-06T13:09:52.422644163Z 2026-09-06 13:09:52.415 UTC [14] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.210 s, sync=0.042 s, total=1.273 s; sync files=13, longest=0.026 s, average=0.004 s; distance=38 kB, estimate=38 kB; lsn=0/1ED3348, redo lsn=0/1ED3310
2026-09-06T13:29:51.748534111Z 2026-09-06 13:29:51.748 UTC [14] LOG:  checkpoint starting: time
2026-09-06T13:29:51.982843801Z 2026-09-06 13:29:51.982 UTC [14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.206 s, sync=0.008 s, total=0.235 s; sync files=3, longest=0.006 s, average=0.003 s; distance=6 kB, estimate=35 kB; lsn=0/1ED4DC0, redo lsn=0/1ED4D88
2026-09-06T13:44:52.282743256Z 2026-09-06 13:44:52.282 UTC [14] LOG:  checkpoint starting: time
2026-09-06T13:44:52.551644735Z 2026-09-06 13:44:52.551 UTC [14] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.230 s, sync=0.008 s, total=0.270 s; sync files=3, longest=0.006 s, average=0.003 s; distance=6 kB, estimate=32 kB; lsn=0/1ED6838, redo lsn=0/1ED6800
2026-09-08T08:05:42.680090881Z 2026-09-08 08:05:42.679 UTC [14] LOG:  checkpoint starting: time
2026-09-08T08:05:43.946707256Z 2026-09-08 08:05:43.946 UTC [14] LOG:  checkpoint complete: wrote 13 buffers (0.1%); 0 WAL file(s) added, 0 removed, 0 recycled; write=1.226 s, sync=0.020 s, total=1.267 s; sync files=13, longest=0.012 s, average=0.002 s; distance=41 kB, estimate=41 kB; lsn=0/1EE0CA0, redo lsn=0/1EE0C68
